rank,prev_rank,name,league,off,def,spi
588,588,LA Galaxy II,United Soccer League,0.84,2.45,16.26
589,589,Bristol Rovers,English League One,0.56,1.94,16.21
590,590,Exeter City,English League Two,0.59,2.07,15.64
591,591,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
592,592,Tulsa Roughnecks,United Soccer League,0.62,2.14,15.51
593,595,Oldham Athletic,English League Two,0.73,2.35,15.43
594,594,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
595,593,Crewe Alexandra,English League One,0.5,1.94,14.95
596,602,Mjondalen,Norwegian Tippeligaen,0.58,2.12,14.78
597,598,Bolton,English League Two,0.55,2.14,13.98
598,596,AFC Wimbledon,English League One,0.49,2.03,13.98
599,600,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
600,601,Hartford Athletic,United Soccer League,0.66,2.37,13.84
601,603,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
602,607,Bradford City,English League Two,0.48,2.05,13.47
603,599,Rochdale,English League One,0.5,2.1,13.42
604,604,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
605,605,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
606,597,Aalesund,Norwegian Tippeligaen,0.75,2.6,13.25
607,609,Northampton Town,English League One,0.5,2.14,12.94
608,606,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
609,618,Crawley Town,English League Two,0.48,2.13,12.79
610,608,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
611,631,Cambridge United,English League Two,0.47,2.13,12.47
612,611,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
613,612,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
614,615,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
615,616,Leyton Orient,English League Two,0.49,2.26,11.68
616,617,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
617,613,Forest Green Rovers,English League Two,0.38,2.04,11.52
618,610,Mansfield Town,English League Two,0.48,2.26,11.41
619,619,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
620,621,Grimsby Town,English League Two,0.44,2.27,10.73
621,620,Port Vale,English League Two,0.32,2.02,10.53
622,614,Tranmere Rovers,English League Two,0.33,2.08,10.19
623,622,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
624,623,New York Red Bulls II,United Soccer League,0.64,2.79,10.04
625,625,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
626,626,Barrow,English League Two,0.39,2.27,9.89
627,627,Atlanta United 2,United Soccer League,0.57,2.67,9.86
628,628,Walsall,English League Two,0.32,2.16,9.38
629,633,Carlisle United,English League Two,0.31,2.19,8.96
630,624,Southend United,English League Two,0.35,2.38,8.36
631,634,Newport County,English League Two,0.21,2.04,8.15
632,629,Morecambe,English League Two,0.36,2.44,8.1
633,632,Stevenage,English League Two,0.2,2.09,7.63
634,636,Harrogate Town,English League Two,0.22,2.22,7.19
635,630,Scunthorpe,English League Two,0.27,2.45,6.68
636,635,Loudoun United FC,United Soccer League,0.34,2.65,6.51
637,637,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
